MainOP,Option,Measure1,Measure2
Cfu3fn6k,"RfSBDx2C,9ZgIe,Ach8EXqA",0.82932,-0.937
at9mgOvoobDFa2Fr,"mrz1eRC,5KGNNU4yNQ,4l2FO,1k4Nv1alj,yBSrSL",0.67327,0.95
TIppBwQj85pJO6,wUrJ1w0Z,0.01201,0.606
eK5CVSO,"dERGacXTE,LY4x9,T6xE7l,bLUib,oOfmuIjjE4,prdfDepXix,zMhddPR",0.57705,-0.685
8mHDS3mqliivCdbZ,"Hc7oZbA,xBtE64,phlAB3q,Uomtew6D,SAUb3w,TkdSXnI39n,T0zMC4",0.41467,0.156
8p7p5r,"4uPeZ7HmF,uuA43Fok,rKAZxt,I6asO4wKd,wKbtrO,WbmCGoV,6rfhRaV,LXDQ2,U87cFM6,BZKzdqbcw",0.94618,0.717
u82D9sef2rQGSoH,"QwKCqT,NgtOj,AfAXx7ErP,OqMWvBej,0x5q5vFmG2,uNCY9NA38j,ZiqPgfT4,IatUQ,S57pMYbv9n,FrsV67",0.85268,-0.62
q2Z7gmK,"lLvBzFJ,ooXmkZ,QS4TKfp55,FoZqECv,TD3tdz",0.52677,-0.146
UAC34Jj4mUk1f89,"OF0ij8i,MKmcVd84Y,lbENqK,QnxwAkkTd",0.96322,-0.509
10hsyt,"mvfJ9wh,pOAfr,KvggpsB4X",0.43905,0.469
rQlGpgfgGbzm,"XmIlNVE9V,4DR84W5Onh,RuPtndj",0.82499,0.427
UqUsGCCg5,"zDa6e,ZKtREg3,yMMwpPi3gN,omDbY1G,Z2vcxFli,EQ0RO,qJB6lMv,NONJyaPU",0.17864,-0.897
6mqr7TjQUqREdCf0T,"mJg5Et,o3mqQJD3xK,isVTrKOaB,ajPQrAjtO,43ILe,8nkSasACX,dUMWm,lhcG5h,H7MDdo,Pd2LzhB",0.58672,-0.264
AgI3CnJIWYDTFf,"YOP3vZYe0j,JBEgfav7,pkVtTG,8K3upG8FB,IN2cQ,M4EL1ff4n",0.71178,0.341
MaEzG1G,"OY7Wx,WB56i,oI25BxjtU,N3t33wF7a,qafN7,rhuDAbndZ,Ub1Cb,GM5I1mdY",0.89046,0.339
zsgaGk96OjvKJWR,LXVJrBs,0.50549,0.276
gSxvzVALRB,vxdVk9,0.82307,0.604
Zb2KCVlNnSAn,WQti9ivFxs,0.36465,-0.231
27FIXnskXfWK,"WQQXUaN,oeeoBE1cr5,ttBQcWMb2,wVsah9k5Kl,XAaBli",0.72126,0.248
I42jcSHju8F5bk,"wNcnbKZuF7,eG7lLyW,hKj5VU,obnmdM697,E9YMd69,P0zyClp,cZbwI1J,CS8vBM,eDMJQd0rA,2c0xiEO90",0.60951,-0.931
7TzxxF,MuDDc,0.20242,0.584
XlOMVDHhf,"ap5qimx,PCjp0z0T,Bynyba,bBZWWW0,vOyned,BQ0mbZb,Zy0PWpR,JJXfRG,uMVmJkEqq",0.26634,0.443
vR4iEGjyR,1Z8ufNBPZO,0.26824,-0.03
e0LAzDZFqgyuvEYL9,"lqvsMblfJ,jdCJVAcLKO,ssCz6H,U7p4mvJQ2,6b7DEzV,lASmzga,o8JOFecV,m5oHSK7,1QZmiyii",0.62158,-0.504
yVU122,"hRALXKzE,vyQYQP,WoIEqgCEwn",0.72457,0.099
tGCYPrM,"WoyzmbARtB,0ENY8FOib,ByFvBp,cg2phNGu,x8kyRKIOJw,xb5Av,hCi7g,RBn034a,xrUx16PAdO",0.71301,-0.277
7G2uuDj3mf,"FRnNZ,21Qm74,aE3XksJ,s73YJSZadC,vy2Et,6uiN6,SWlwnLX,7Kd6uC4,VivzjnA",0.90286,-0.065
F8g250i,"ZTW9KH7k4,Q79st4,T2Nx5wG,0GndXW9,7VQKo",0.21107,0.435
1d3ZYD5JRAXYqnGtPE,"ZSI0kMwJK,ppstb,VgwPXiYGzd,hjRhq,ozO9w,Ln4srWj,vj01KUTyk,cXTcKnwhQ,D7vAQHBD85,VI0NOFwQ3",0.4051,0.701
xhhk4xueMgkMu0,"CorjCxXa8F,ZGxeUCwbW",0.0567,0.643
YRKKcxbmDe5yFkTehW,"ZVnR8Yhydb,06QHBIy,5jvRvb3lR,j6qZGk",0.67636,0.994
wDjBzoq9yjLCwEy,"jDLcXsh0YM,WBDtmZj,qkTbDVVurs,Hf6iQp9B,nCfOU,7A7DafcA,xg7SshGEU,pS3CZ,qQXKV6",0.56929,0.387
NqXgKsimSN3Jg1,dWTFPP,0.79852,0.127
YlXUzyBvm9LHanHrFMWW,bPXqTIIG,0.74623,0.542
OahhgRvF,"NT9jw,TnvAbFbH28",0.15759,0.055
MGQEBA1y1NLoTAf3,"yaruX27XHE,PcGpGgh,1k4JDxQE2,xPNIt7Q,bVh68uZnib,XoUwEAHp,M6AzwBJVd,CyBJHATu8,EbdPpPn1x,cIIUpkK",0.43756,0.252
tyZEMCB479gkz,"8qOm6rFW,F0mKY1lv,vzxmqe9,essDVnbs55,uoKhoGoIo,LUVqKg,4iYeh",0.2898,-0.657
gI64U35uG7PA,"LvrgNym,FfVt6,1wlXI2D5y,4PskfME30,KKx1WYO,G1Jnrp,in2kdxrp,HomAnW,bMPGwP,VcfUX",0.78737,-0.829
VL7tSPJOthVB39B,"xOdi73ye,jCCuWKQt,UjtwmNt,JJVDnKt3Q,TLdh6,3bVhjA,hkL4YJyXWo,L8TVx,W4X7qzG",0.26373,-0.347
HRbYAXa4DM59ryP1bu,"SbWZ3Oz,Ga8h1,RGtHEyP38t",0.89292,-0.519
HoMHrz,"rqtpOrvuR3,D09nZy4f",0.07972,-0.916
G6NjaNJXdDEBOm4HR0,"QHX8GgX,hiLJBN,hCAxo",0.44051,0.861
PK1SQ2IX,"xQQF4y4,HFcrdvAE,JhaW9vttVW,4ev5agCy,uJtsJ,E9m53Fmu,VZKckJL,OLYieb,7i07mcJ,fnVL9",0.68194,-0.264
UngU3v52N1,"ZkRoIimfe,WgePKPRm,nNyD1ur,OZ2Qf",0.68121,0.897
C0ecbo7yWisxuOOR,"8lA3jW,G9S29i",0.44862,-0.482
q2agFA8GrsfHxv,"xdlPgR,tDao3,OmnhParMy,ujWCrr,YqVfI8KD0t,4ZmATOg,Nx21oNTBPu,FN3OE,Et42GeFMBE,6jUJU",0.58818,0.077
MXowak5RsP1Ml1wkZQoz,"wNgltYPT,uuZ93TnY,TorXi0iob,86UD1C2EOh,rCKrFojp,a1EwkiZ,9ig59daP3m",0.36905,0.647
QImhKqOlMyFRBo,"H2xll5B3,WjrR21",0.08829,0.735
vUEdEdaqSpueygLKNPE,"dH91GmI,evAnORo,wSF54Q,rG64pO2YQU,Bhge3FqW,WV85Cd",0.87219,-0.217
fuqJjwgf4ke1M9yc,"DZ5Tm,BNrjV9y,CvE7e,uiDxZzb0",0.35477,-0.033
usO2zRUcW8EBVpO8p8b8,"pqrD8O9,CR1J4lOT,0FM88SXZ,VKiKnPV",0.14063,0.561
sSIctL3gp3eAgLLUZ,"vjxD6wVyXi,qHUny,1een1wvH,1onjrr,WCcsWOS",0.29194,-0.783
QlAAAi,"tcORl,opPhAzdxL,BsyoDdDNwv,OX1lVj,3wKSyHLfjY",0.34781,0.368
uRYANG,"gYFaWONee,5WAhimG,eEfPi9",0.60789,0.507
N08KAiGD3esciod,"CbNc3TG,EoUZD,vJWpbZXyp7,aHN6RgfY5Z,AxRIcXjxvK,igT0h0p,s4AfNTZY",0.3853,-0.773
isXxy5GEKTpKeBWzFhKV,"TPWdt,QPTXIFKk,jfRiig3",0.33924,-0.982
sqkhl231PdWaC8jXM,"dtWSvx,SFZbpI,YSMf72L,6r4nWJTmNb,E2KuHbT,U7ZAz,RPeMJ,1vORK",0.47841,-0.751
LgPwyE,"tjAUk58W,M8vodQBaa3,KFyWP",0.41294,-0.736
k4IsO77zIS6O4o,"QQS9d7,lR9DSHf8V,69n37,2XRzZmQFZL,xHCjvvva,JkqVldbM,dgZuBqm",0.77938,-0.988
ZOo9i1,"xS4S9wkj,9sNtmWGK,I5v3M3x,KUtFDywes,rAMyospa,Kl4jX9ln0e,RLgpjvNb,xVe2hf",0.39458,-0.821
Xa3yDHN0aLSGBivJrDZ7,"rW9zQ70,JcR0dC7,tqHvJFEKK,DY2p5wx2,I0Fb92",0.68898,-0.121
Sqwbi1W1h,"vo07kTn0,N2y1HkKKjk,zG0TgwrD,oQpbbDmr,wZvqyviw,4fm1V4Ntz,8pctAp,hnFWX2ktk,T3nFva",0.4892,0.587
MMd5NWLJlHL,"YlYAj6w,XrLx44Kwz,2vYvbDH6",0.33849,-0.209
QRjO6qA,"2pdNk5,0Zfbk3x,089ck3Ji,bJP1po,rGaiPduiGs,wCXg3pyEX",0.33539,-0.857
XXqO6oUxpmUuKSwH,"ucIo9,A0fNBKOO,7XOYXN,H3g9AQczi,z5DStfb,pD9SoN8v,qcDcwgu,3YYU7DWO7J,3OVJZ07,nbd3uXps",0.30118,-0.43
5ijoeEKSH5x8Xtg,"2dzPHFkD4h,qYIzu47,Whfyo",0.30068,-0.762
1buyOy8SlZmeAsNFv,"137MkO,uHMkHLMlCR,ra86KO,jQR1cF,epX9QA,Ua1j6j2Awa,n3x94w3,yka5qZjoQ,8qaJvI,NnN5hS28",0.91536,-0.822
mR4DzsQAW6qiPpbZ9,"BOO68ZwY7k,yOQ7ELb,W1q1p,DfXUvoo,oTr4pPN,P7b6fBJ7w,gT6xca9,dFmo6dFZ3u,2dFYv0",0.62031,-0.66
Ykk5Afj,"1pAZgYJOld,4bG6NM2,UDwOQjWA,4hYRpIr,vESF0eT,PEp3f,1Q5VP,nj14IamS,WFCH4fhe",0.11607,0.714
pZukn1oipdglPuPT6,"MXnZY6,TOdTIa3B,z4doOUTGZH,mvYxxQxg5d,h4BxN,dwRmmp,Ki9YV1,xfc4HKpbIn,m20cZYz",0.21778,0.555
2auv6Uj,"09ecyL,H9MUy,dMqz4h,bkY1t,KUf8m0F,IbITqY",0.82514,0.518
UIzObL0JDKN3ehwmYrC6,"mATn9RpuP3,KDZceE,qgh1FvN,Dqgz7LzWvY,h8flEVF0,ZerunsXb,qwTZBrXR,xXLoo",0.51839,-0.448
97zfS63sAHukcjFLBqad,"zHNOH2S,K2r6VimjTu,NTib52W5S,SK8sYX,YQKe3dtNf,o5q5z8i,MmBc8mqL",0.55978,-0.081
NrK0X3,"9HARW,QwyAXEj,UchRu5,hiRh0Mf6t,06nsz,iFSqAY",0.93872,0.606
vO6fQDRJZqcGk,"zmtdId,HoDONXQH,cLuSmyM,FkvOmhj,bt5GFOv,56ZeFPsR,RWdMwC,NC25q,Odk8zrz,zdEfyBqu",0.0043,-0.667
4WlrIUKIoC6NooV,"fEmKcIV,DTAzCD7p,ymr1Ndj51G,U04Co",0.07817,0.164
JYoLqQNH,"NLrqiZ,P9mF77",0.74215,-0.793
YnwwfD,"jglx3F9,uhj68GdMs,zmNmg",0.55893,-0.863
XmXNUcKYs9dSMbCqNg3,"mXLdJ,TDFSFQF6AN,F7ofMxiySY",0.29988,0.469
n5tt5y6mOF,"t19MPC,p8KT5r44,rdLsnRD",0.41981,-0.251
p9ckeyIxtDtorYwNgNa,"LZOV7,uDu5K5a,iAo2Q,7JohdOfpe,QPcqN0o,EDEWc5,qjV3HvKAER,5aSCxdlOFp",0.92291,0.789
cP4hN4hA36jTV9,"EPf6IMNFn,dQ47OQ,0OxS6q0ytL,DjWvr,UKyacBbiAq,N44a4pC,QMxTFl9,sY2hqYq,3IJHtzQK,78ffJ0UBNn",0.5049,0.801
IvCjNr8hd0TAK4MzSf,"EV0Ez,Z6clx5bvxu,opFEbIbm,x5nHraFq,tbmAcJ4,E7VMK,V47TkDgk,EZVlWr,PZmsBj",0.77667,-0.89
E3mfgAd,5mSjhRf,0.54844,0.086
dCu5sIae4qspSAq,"UG234Me,pW27OC9Ss,wJHm03bzi,OH6LzVqq,bcDAZ,jccj0SbSxg,1yDQBMSYu5,1lLNh,PoRAW",0.34719,0.874
